# Comprehensive QMK Autocorrect Dictionary for xela keymap
# Includes Getreuer's expanded dictionary + common developer & English typos

# Custom / Discovered User Typos
isntead       -> instead
somthing      -> something
sohuld        -> should
anytihng      -> anything
pelase        -> please
:whne         -> when
definitly     -> definitely
defualt       -> default
perfer        -> prefer
:giut         -> git
stauts        -> status

# 10 most common words
:htere        -> there
abbout        -> about
abotu         -> about
baout         -> about
:theri        -> their
:thier        -> their
:owudl        -> would
woudl         -> would
peaple        -> people
peolpe        -> people
peopel        -> people
poeple        -> people
poeople       -> people
:hwihc        -> which
whcih         -> which
whihc         -> which
whlch         -> which
wihch         -> which
coudl         -> could
:htikn        -> think
:htink        -> think
thikn         -> think
thiunk        -> think
tihkn         -> think
:olther       -> other
:otehr        -> other
baceause      -> because
beacuse       -> because
becasue       -> because
beccause      -> because
becouse       -> because
becuase       -> because

# Common words
theese        -> these
:goign        -> going
:gonig        -> going
:yaers        -> years
:yeasr        -> years
:thsoe        -> those
shoudl        -> should
raelly        -> really
realy         -> really
relaly        -> really
bedore        -> before
befoer        -> before
littel        -> little
beeing        -> being
:hwile        -> while

aroud         -> around
arround       -> around
arund         -> around
thign         -> thing
thigsn        -> things
thnigs        -> things
anohter       -> another
beteen        -> between
beween        -> between
bewteen       -> between
:eveyr        -> every
:graet        -> great
:agian        -> again
:sicne        -> since
alwasy        -> always
alwyas        -> always
throught      -> thought

# Transpositions & Common Misspellings
:acheiv       -> achiev
almsot        -> almost
alomst        -> almost
chnage        -> change
chekc         -> check
childen       -> children
claer         -> clear
comapny       -> company
contian       -> contain
elasped       -> elapsed
feild         -> field
fitler        -> filter
firts         -> first
follwo        -> follow
:foudn        -> found
frequecy      -> frequency
firend        -> friend
freind        -> friend
heigth        -> height
iamge         -> image
:inital        -> initial
intput        -> input
laguage       -> language
lenght        -> length
levle         -> level
libary        -> library
:moeny        -> money
mysefl        -> myself
ouptut        -> output
ouput         -> output
pointter      -> pointer
preceive      -> perceive
problme       -> problem
prblem        -> problem
qucik         -> quick
reaspn        -> reason
reassn        -> reason
recive        -> receive
recieve       -> receive
respones      -> response
reuslt        -> result
retrun        -> return
retun         -> return
reutrn        -> return
saftety       -> safety
saftey        -> safety
schdule       -> schedule
screne        -> screen
secnod        -> second
shrot         -> short
siwth         -> switch
smalller      -> smaller
soruce        -> source
sqaure        -> square
ststus        -> status
stirng        -> string
strign        -> string
sytem         -> system
targer        -> target
:tiem         -> time
tostring      -> to_string
udpate        -> update
upadte        -> update
valud         -> valid
vaule         -> value
valeu         -> value
:waht         -> what
:wiat         -> wait
widht         -> width
wroking       -> working

# Programming & Developer Keywords
cosnt         -> const
fasle         -> false
fales         -> false
flase         -> false
:ture          -> true
functon       -> function
funtion       -> function
funciton      -> function
paramenter    -> parameter
paramter      -> parameter
requrie       -> require
implment      -> implement
reponse       -> response
syutax        -> syntax
synatx        -> syntax
initalize     -> initialize
initailize    -> initialize

# Wikipedia Misspellings
accross       -> across
embarass      -> embarrass
occurance     -> occurrence
succesful     -> successful
enviroment    -> environment
goverment     -> government
knowlege      -> knowledge
unfortunatly  -> unfortunately
disapoint     -> disappoint
neccessary    -> necessary
definately    -> definitely
seperate      -> separate
:guage        -> gauge
:the the:     -> the
